dataset_label,department_label,course_code,subject,number,section,title,description,prerequisites,corequisites,restrictions,notes,delivery,source_file
maths,maths,STAT 4F90,STAT,4F90,,one and one-half credits from,,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P94,MATH,2P94,,",","3P08 , 3P09 , 3P51 , 3P72 , 3P75 , 3P96 ,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 3P85,STAT,3P85,,MATH 3P03,or 3P12,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P52,MATH,3P52,,or,,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P60,MATH,3P60,,Concentration in Pure Mathematics,"The Concentration in Pure Mathematics program provides students with breadth and depth of knowledge of concepts, methodologies, techniques and aptitudes needed to become a professional mathematician. In addition to the core courses required by all concentrations, it includes advanced courses in central areas of algebra and analysis, as well as choice of electives in mathematical specialties of particular interest to the students. Suited for those who intend to pursue further studies in pure or applied mathematics as it includes foundational courses commonly required for admission to graduate programs in the mathematical sciences. Also serves those joining the work force through the development of logical reasoning, computational preferences, analytical and problem-solving skills and creative thinking. Students may earn a Concentration in Pure Mathematics by successfully completing the following courses as part of the academic work leading to a BSc (Honours) in Mathematics and Statistics:",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P66,MATH,1P66,,",","2P04 , 2P08 , 2P13 , 2P97 , 3P03 , 3P04 , 3P12 and 3P13",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P92,MATH,2P92,,or,2P94 two credits from,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P06,MATH,3P06,,",","3P08 , 3P09 , 3P60 , 3P72 , 3P95 , 3P96 , 3P97 , 3P98 , 3P99 (see program notes 3 and 5 two and one-half credits from",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 4F90,MATH,4F90,,",","4P03 , 4P06 , 4P09 , 4P11 , 4P13 , 4P71 , 4P92 (see program note 5 ) Concentration in Statistics The Concentration in Statistics program gives a student the opportunity to prepare for advanced study of statistics. Mathematical statistics theory and practical applications of statistical inferences, statistical models, stochastic models, experimental design, sampling and other methods. Development of the student's abilities in logical reasoning, creative thinking, problem solving, case studies and computation skills. Application of statistical knowledge to many areas, such as actuarial science, biological science, business, economics, education, engineering, agriculture and public health. After graduation, students can advance to graduate studies, or find jobs with employers such as Statistics Canada, hospitals, financial institutions, insurance companies and various business. Students may earn a Concentration in Statistics by successfully completing the following courses as part of the academic work leading to a BSc (Honours) in Mathematics and Statistics:",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P03,MATH,2P03,,",","2P12 ,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 2P81,STAT,2P81,,",","2P82 , 3P81 , 3P82 , 3P85 , 3P86 , 4P81 , 4P82 , 4P84 and 4P85 Minor Program Minor in Mathematics Students in other disciplines may obtain a Minor in Mathematics within their degree program by completing the following courses with a minimum 60 percent average: MATH 1P01 or 1P05",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
